times,Rover,EmpID,InorOut
2024-06-18T19:54:10.041Z,LASB18359522505717,4945,Check In
2024-06-18T19:54:16.838Z,LASB18359522505717,4945,Check Out
2024-06-18T20:17:25.481Z,LASB18359522505717,4945,Check In
2024-06-18T20:17:30.617Z,LASB18359522505717,4945,Check Out
